Record Number,Timestamp,Term,Gender,ATSI,School,Year Level,Program Name,I would recommend this activity to another student,The activity introduced me to new topics and ideas,The activity made me think hard / carefully,The activity was different to regular class at school.
1237504,2025-05-01 09:18,,Male,,Keysborough College,Year 9,GDC Challenge,Strongly agree,Strongly agree,Agree,Strongly agree
1237507,2025-05-01 09:19,,Male,,Keysborough College,Year 9,GDC CHALLENGE,Strongly agree,Strongly agree,Agree,Strongly agree
1237508,2025-05-01 09:19,,Female,,Keysborough College,Year 9,GDC Challenge,Strongly agree,Agree,Agree,Strongly agree
1237511,2025-05-01 09:20,,Male,,Keysborough College,Year 9,GDC CHALLENGE,Strongly agree,Agree,Agree,Agree
1237512,2025-05-01 09:20,,Female,,Keysborough College,Year 9,GDC challenge,Agree,Agree,Agree,Agree
1237514,2025-05-01 09:20,,Male,,Keysborough College,Year 9,VCES: Hydrogen Car Competition,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
1237515,2025-05-01 09:20,,Male,,Keysborough College,Year 9,GDC challenge,Agree,Strongly agree,Strongly agree,Strongly agree
1237516,2025-05-01 09:20,,Male,,Keysborough College,Year 9,GDC Challenge,Agree,Agree,Agree,Neither agree nor disagree
1237519,2025-05-01 09:21,,Male,,Keysborough College,Year 9,Tech sprint Gdc challenge,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
1237520,2025-05-01 09:21,,Female,,Keysborough College,Year 9,GDC Challenge,Strongly agree,Strongly agree,Agree,Strongly agree
1237521,2025-05-01 09:21,,Female,,Keysborough College,Year 9,Gdc challenge,Agree,Agree,Agree,Strongly agree
1237523,2025-05-01 09:22,,Female,,Keysborough College,Year 9,Techsprint,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree
1237528,2025-05-01 09:31,,Female,,Keysborough College,Year 9,GDC challenge,Agree,Strongly agree,Strongly agree,Strongly agree
1242171,2025-05-16 08:47,,Male,,alfredton primary,Year 5,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Agree,Neither agree nor disagree,Agree
1242173,2025-05-16 08:47,,Female,,Alfredton Primary School,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Strongly agree,Agree,Strongly agree
1242174,2025-05-16 08:48,,Female,,Alfredton Primary School,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Agree,Strongly agree,Strongly agree
1242175,2025-05-16 08:48,,Male,,alfredton primary school,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1242176,2025-05-16 08:48,,Male,,Alfedton Primary School,Year 5,VCES: Ocean Scratch 2: The Clean Up,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
1242177,2025-05-16 08:48,,Female,,Alfredton Primary school,Year 5,VCES: Ocean Scratch 2: The Clean Up,Agree,Strongly agree,Neither agree nor disagree,Strongly agree
1242178,2025-05-16 08:49,,Non-binary,,Alfredton Primary School,Year 6,VCES: Ocean Scratch 2: The Clean Up,Agree,Neither agree nor disagree,Agree,Strongly agree
1242179,2025-05-16 08:49,,Female,,Alfredton Primary Schools,Year 6,VCES: Ocean Scratch 2: The Clean Up,Agree,Agree,Neither agree nor disagree,Agree
1242181,2025-05-16 08:49,,Male,,,Year 5,VCES: Ocean Scratch 2: The Clean Up,Agree,Agree,Neither agree nor disagree,Agree
1242183,2025-05-16 08:50,,Male,,,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Agree,Agree,Strongly agree
1242184,2025-05-16 08:51,,Male,,,Year 6,,Agree,Agree,Agree,Agree
1242185,2025-05-16 08:51,,Female,,Alfredton PS,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Strongly agree,Agree,Strongly agree
1242188,2025-05-16 08:56,,Male,,Alfredton PS,Year 6,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
1242189,2025-05-16 08:56,,Male,,Alfredton Primary School,Year 5,VCES: Ocean Scratch 2: The Clean Up,Agree,Agree,Agree,Agree
1242190,2025-05-16 08:56,,Male,,,Year 5,,Agree,Disagree,Strongly disagree,Agree
1242192,2025-05-16 08:56,,Female,,Alfredton Primary School,Year 5,VCES: Ocean Scratch 2: The Clean Up,Agree,Agree,Strongly agree,Agree
1242193,2025-05-16 08:58,,Rather not say,,Alfredton Primary School,Year 5,VCES: Ocean Scratch 2: The Clean Up,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
1242195,2025-05-16 08:59,,Male,,alfredton  primary,Year 5,VCES: Ocean Scratch 2: The Clean Up,Agree,Agree,Neither agree nor disagree,Agree
1237478,2025-05-01 09:14,,Male,,Keysborough College,Year 9,GDC Challenge,Agree,Agree,Strongly agree,Strongly agree
1237481,2025-05-01 09:15,,Male,,Keysborough College,Year 9,GDC challenge,Agree,Strongly agree,Agree,Strongly agree
1237483,2025-05-01 09:15,,Male,,Keysborough College,Year 9,Gdc challenge,Agree,Agree,Agree,Agree
1237484,2025-05-01 09:15,,Female,,Keysborough College,Year 9,TechSprint: GDC Challenge,Agree,Agree,Agree,Strongly agree
1237488,2025-05-01 09:16,,Female,,Keysborough College,Year 9,Techsprint: GDC challenge,Agree,Agree,Agree,Strongly agree
1237489,2025-05-01 09:16,,Male,,Keysborough College,Year 9,GDC challenge,Agree,Agree,Agree,Agree
1237491,2025-05-01 09:16,,Female,,Keysborough College,Year 9,Tech sprint GDC,Agree,Agree,Agree,Agree
1237492,2025-05-01 09:16,,Female,,Keysborough College,Year 9,GDC challenge,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
1237493,2025-05-01 09:17,,Female,,Keysborough College,Year 9,VCES: Hydrogen Car Competition,Strongly agree,Strongly agree,Agree,Strongly agree
1237495,2025-05-01 09:17,,Female,,Keysborough College,Year 9,GDC Challenge,Agree,Agree,Agree,Agree
1237496,2025-05-01 09:17,,Male,,Keysborough College,Year 9,VCES: Hydrogen Car Competition,Strongly agree,Agree,Agree,Strongly agree
1237498,2025-05-01 09:17,,Male,,Keysborough College,Year 9,Gdc challenge,Strongly agree,Strongly agree,Agree,Strongly agree
1237501,2025-05-01 09:18,,Male,,Keysborough College,Year 9,GDC Challenge,Agree,Strongly agree,Strongly agree,Strongly agree
